crop,a,b,direct,indirect,total,prop_mediated,ci_low,ci_high,cor_year_area,interpretable,n_years,production_growth,area_growth
Tomato,0.9896590450091813,1.2860672188164965,-0.29660082145437144,1.272768055591548,0.9761672341371765,1.3038422219903063,1.121356849915889,1.492459688814359,0.9896590450091808,FALSE,63,6.715948343492058,3.042540352814878
Soybean,0.977953701030267,1.2579344673131827,-0.2701280493902107,1.2302016679624646,0.9600736185722538,1.2813618082662495,1.1823041346900436,1.3785071327306924,0.9779537010302672,FALSE,63,13.795852928067454,5.776000868221012
Sugarcane,0.9885864194798175,0.9700457702860421,0.027399018974829693,0.95897407477862,0.9863730937534496,0.9722224590792841,0.8595899554404558,1.1076764934521353,0.9885864194798174,TRUE,63,4.504344285703515,3.014741340532834
Maize,0.9363973041940611,0.7477849305400778,0.2612000922187301,0.7002237930746721,0.9614238852934022,0.7283195308393878,0.6637949267336982,0.7885152435397167,0.9363973041940613,TRUE,63,6.041063543577205,1.9998109218865823
Cassava,0.9263997600374296,0.6231165850484448,0.3888317180679022,0.5772550548642219,0.9660867729321241,0.5975188472068844,0.5191900346554605,0.6898960125618339,0.9263997600374301,TRUE,63,4.7650145133245925,3.436953744690009
Banana,0.9765437164412781,0.47985737579260807,0.4951202653842101,0.4686017051182725,0.96372197050248265,0.48624159193335037,0.22299930213885163,0.7880080344936672,0.9765437164412782,TRUE,63,6.094941667466386,2.791699740599091
Rice,0.9640999604180123,0.1291513568510901,0.8721781060227493,0.12451481802806855,0.9966929240508178,0.12492796429416608,0.05472526157410106,0.22958930130225402,0.9640999604180119,TRUE,63,3.7317739097769427,1.464241846114885
Wheat,-0.08576392600220588,0.1238545449162513,0.9957117622449901,-0.01062225202523426,0.9850895102197559,-0.010783032318418075,-0.049688636812569534,0.01750036229776895,-0.08576392600220588,FALSE,63,3.5733824056299746,1.0711404197993775
Potato,-0.8369248070715234,0.5400225112174913,1.281717568905526,-0.45195823601497853,0.8297593328905475,-0.5446859325348448,-0.8349770018785567,-0.3005125621148492,-0.8369248070715235,FALSE,63,1.429487587302395,0.7672698170817742
Barley,-0.646849652782747,1.1423055930746446,1.129169631339362,-0.7388999762521238,0.3902696550872382,-1.8933062476685643,-8.322566076537381,-0.840598880521969,-0.6468496527827472,FALSE,63,1.9708503142004297,0.8431307530782133
